FILE,STRATEGY,TP_SL, END_BALANCE__1 , END_BALANCE__2 , END_BALANCE__3 ,WIN_RATE__1,WIN_RATE__2,WIN_RATE__3, NBR_TRADES__1 , NBR_TRADES__2 , NBR_TRADES__3 , MAX_END_BALANCE 
ETHUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  STOCH_10,TP_AI_1  --  SL_ATR_1, 9 , 31 , 20 ,77%,48%,65%, 97 , 185 , 185 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  AVG_VOL_P_GAIN_1_2,TP_AI_1  --  SL_AI_1, 31 , 0 , 24 ,71%,52%,67%, 248 , 310 , 310 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  5  --  AVG_VOL_P_GAIN_1_2,TP_AI_2  --  SL_ATR_2, 31 , -   , 24 ,70%,53%,58%, 37 , 73 , 73 , 31 
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  5  --  STOCH_20,TP_AI_2  --  SL_ATR_2, 31 , -   , 10 ,58%,50%,50%, 262 ," 1,117 "," 1,117 ", 31 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  3  --  STOCH_30,TP_AI_1  --  SL_AI_1, 31 , -   , 19 ,79%,51%,68%, 248 , 302 , 302 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  STOCH_10,TP_AI_1  --  SL_AI_1, 24 , -   , 31 ,76%,54%,72%, 311 , 367 , 367 , 31 
BTCUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  10  --  ROC_2,TP_AI_2  --  SL_ATR_2, 31 , 0 , 28 ,48%,53%,53%, 137 , 604 , 604 , 31 
AVAXUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  4  --  AVG_VOL_P_GAIN_1_2,TP_AI_2  --  SL_ATR_2, 31 , -   , 8 ,75%,53%,60%, 253 , 419 , 419 , 31 
ADAUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  4  --  STOCH_30,TP_AI_1  --  SL_AI_1, 31 , -   , 10 ,83%,49%,73%, 336 , 396 , 396 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  STOCH_10,TP_AI_2  --  SL_ATR_2, 31 , -   , 28 ,76%,41%,59%, 33 , 61 , 61 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  5  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 31 , -   , 27 ,81%,43%,69%, 32 , 51 , 51 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_AI_1, 12 , 0 , 31 ,70%,50%,69%, 206 , 224 , 224 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  AVG_VOL_P_GAIN_1_2,TP_AI_2  --  SL_ATR_2, 21 , -   , 31 ,68%,49%,56%, 38 , 87 , 87 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  STOCH_10,TP_AI_1  --  SL_ATR_1, 6 , 0 , 31 ,87%,54%,74%, 206 , 399 , 399 , 31 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  5  --  STOCH_30,TP_AI_2  --  SL_ATR_2, 28 , -   , 31 ,62%,50%,53%, 185 , 604 , 604 , 31 
ADAUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  3  --  AVG_VOL_P_GAIN_1_1,TP_AI_2  --  SL_ATR_2, 26 , -   , 31 ,74%,56%,63%, 293 , 441 , 441 , 31 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  5  --  STOCH_30,TP_AI_1  --  SL_AI_1, 31 , -   , 28 ,71%,43%,65%, 165 , 190 , 190 , 31 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  4  --  AVG_VOL_P_GAIN_3_1,TP_AI_1  --  SL_ATR_1, 31 , 0 , 24 ,89%,52%,79%, 343 , 439 , 439 , 31 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  5  --  AVG_VOL_P_GAIN_3_1,TP_AI_1  --  SL_ATR_1, 31 , 0 , 24 ,89%,52%,79%, 343 , 439 , 439 , 31 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  10  --  AVG_VOL_P_GAIN_3_1,TP_AI_1  --  SL_ATR_1, 31 , 0 , 24 ,89%,52%,79%, 343 , 439 , 439 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  4  --  AVG_VOL_P_GAIN_3_2,TP_AI_1  --  SL_AI_1, 24 , 1 , 31 ,80%,49%,77%, 315 , 341 , 341 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  5  --  AVG_VOL_P_GAIN_3_2,TP_AI_1  --  SL_AI_1, 24 , 1 , 31 ,80%,49%,77%, 315 , 341 , 341 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  10  --  AVG_VOL_P_GAIN_3_2,TP_AI_1  --  SL_AI_1, 24 , 1 , 31 ,80%,49%,77%, 315 , 341 , 341 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  10  --  STOCH_10,TP_AI_1  --  SL_AI_1, 15 , -   , 31 ,72%,50%,69%, 252 , 293 , 293 , 31 
ADAUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  3  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 31 , -   , 23 ,47%,40%,35%, 19 , 20 , 20 , 31 
ADAUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  4  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 31 , -   , 23 ,47%,40%,35%, 19 , 20 , 20 , 31 
ADAUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  5  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 31 , -   , 23 ,47%,40%,35%, 19 , 20 , 20 , 31 
ADAUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  10  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 31 , -   , 23 ,47%,40%,35%, 19 , 20 , 20 , 31 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  10  --  STOCH_30,TP_AI_2  --  SL_ATR_2, 31 , -   , 22 ,51%,52%,52%, 171 ," 1,185 "," 1,185 ", 31 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  3  --  ALL,TP_AI_2  --  SL_ATR_2, 31 , -   , 4 ,69%,51%,53%, 354 ," 1,032 "," 1,032 ", 31 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  10  --  STOCH_30,TP_AI_2  --  SL_ATR_2, 31 , -   , 22 ,51%,52%,52%, 171 ," 1,185 "," 1,185 ", 31 
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  STOCH_30,TP_AI_2  --  SL_AI_1, -   , 31 , -   ,31%,49%,29%, 35 , 45 , 45 , 31 
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  STOCH_30,TP_AI_2  --  SL_ATR_2, 21 , 31 , 19 ,71%,49%,60%, 28 , 45 , 45 , 31 
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  5  --  STOCH_30,TP_AI_2  --  SL_AI_1, -   , 31 , -   ,33%,47%,30%, 33 , 43 , 43 , 31 
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  5  --  STOCH_30,TP_AI_2  --  SL_ATR_2, 21 , 31 , 20 ,70%,47%,58%, 27 , 43 , 43 , 31 
BTCUSDT -- 4H -- amazon/chronos-t5-large,1  --  5  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 18 , 1 , 31 ,42%,50%,48%, 97 , 285 , 285 , 31 
DOGEUSDT -- 4H -- amazon/chronos-t5-large,1  --  3  --  ROC_3,TP_AI_1  --  SL_AI_1, 30 , 24 , 31 ,71%,51%,69%, 92 , 94 , 94 , 31 
ETHUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  4  --  STOCH_20,TP_AI_1  --  SL_AI_1, 31 , 0 , 8 ,83%,49%,68%, 377 , 496 , 496 , 31 
ETHUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  5  --  STOCH_20,TP_AI_1  --  SL_AI_1, 31 , 0 , 8 ,83%,49%,68%, 377 , 496 , 496 , 31 
ETHUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  10  --  STOCH_20,TP_AI_1  --  SL_AI_1, 31 , 0 , 8 ,83%,49%,68%, 377 , 496 , 496 , 31 
DOGEUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  3  --  ROC_3,TP_AI_2  --  SL_AI_1, 31 , 28 , 31 ,0%,56%,0%, 9 , 9 , 9 , 31 
DOGEUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  3  --  ROC_3,TP_AI_2  --  SL_AI_1, 31 , 28 , 31 ,0%,56%,0%, 9 , 9 , 9 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  3  --  ROC_3,TP_AI_2  --  SL_AI_1, 31 , -   , 31 ,10%,40%,10%, 10 , 10 , 10 , 31 
BTCUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  5  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 20 , 0 , 31 ,48%,50%,50%, 110 , 327 , 327 , 31 
DOGEUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  3  --  AVG_VOL_P_GAIN_1_2,TP_AI_2  --  SL_AI_1, 1 , 31 , 1 ,25%,51%,25%, 53 , 55 , 55 , 31 
BTCUSDT -- 1D -- amazon/chronos-t5-large,1  --  5  --  STOCH_20,TP_AI_2  --  SL_ATR_2, 31 , -   , 2 ,71%,43%,58%, 41 , 69 , 69 , 31 
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  4  --  ALL,TP_AI_1  --  SL_AI_1, 31 , 10 , 14 ,79%,51%,72%, 327 , 397 , 397 , 31 
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  4  --  AVG_VOL_P_GAIN_1_1,TP_AI_1  --  SL_AI_1, 31 , 10 , 14 ,79%,51%,72%, 327 , 397 , 397 , 31 
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  4  --  AVG_VOL_P_GAIN_1_2,TP_AI_1  --  SL_AI_1, 31 , 10 , 14 ,79%,51%,72%, 327 , 397 , 397 , 31 
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  3  --  AVG_VOL_P_GAIN_2_2,TP_AI_2  --  SL_AI_1, 31 , -   , 30 ,48%,57%,48%, 23 , 23 , 23 , 31 
XRPUSDT -- 1D -- amazon/chronos-t5-large,1  --  4  --  AVG_VOL_P_GAIN_2_2,TP_AI_2  --  SL_AI_1, 31 , -   , 30 ,48%,57%,48%, 23 , 23 , 23 , 31 
BTCUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  3  --  STOCH_30,TP_AI_1  --  SL_ATR_1, 21 , 3 , 31 ,69%,43%,61%, 99 , 124 , 124 , 31 
BTCUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  4  --  STOCH_30,TP_AI_1  --  SL_ATR_1, 21 , 3 , 31 ,69%,43%,61%, 99 , 124 , 124 , 31 
BTCUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  5  --  STOCH_30,TP_AI_1  --  SL_ATR_1, 21 , 3 , 31 ,69%,43%,61%, 99 , 124 , 124 , 31 
BTCUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  10  --  STOCH_30,TP_AI_1  --  SL_ATR_1, 21 , 3 , 31 ,69%,43%,61%, 99 , 124 , 124 , 31 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  AVG_VOL_P_GAIN_3_2,TP_AI_1  --  SL_ATR_1, 31 , -   , 17 ,88%,52%,78%, 164 , 212 , 212 , 31 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,1  --  5  --  AVG_VOL_P_GAIN_3_2,TP_AI_1  --  SL_ATR_1, 31 , -   , 17 ,88%,52%,78%, 164 , 212 , 212 , 31 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,1  --  10  --  AVG_VOL_P_GAIN_3_2,TP_AI_1  --  SL_ATR_1, 31 , -   , 17 ,88%,52%,78%, 164 , 212 , 212 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  STOCH_20,TP_AI_1  --  SL_ATR_1, 4 , -   , 31 ,86%,56%,77%, 138 , 235 , 235 , 31 
BTCUSDT -- 4H -- amazon/chronos-t5-large,1  --  3  --  ALL,TP_AI_1  --  SL_ATR_1, 29 , 4 , 31 ,70%,48%,64%, 145 , 186 , 186 , 31 
ADAUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  5  --  STOCH_10,TP_AI_1  --  SL_ATR_1, 31 , 0 , 10 ,84%,50%,72%, 499 , 698 , 698 , 31 
DOGEUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  3  --  STOCH_10,TP_AI_1  --  SL_ATR_1, 3 , -   , 31 ,88%,48%,76%, 192 , 301 , 301 , 31 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  4  --  STOCH_30,TP_AI_1  --  SL_ATR_1, 31 , -   , 13 ,81%,50%,69%, 222 , 308 , 308 , 31 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  3  --  STOCH_30,TP_AI_1  --  SL_ATR_1, 31 , -   , 27 ,84%,50%,72%, 338 , 495 , 495 , 31 
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  3  --  STOCH_10,TP_AI_1  --  SL_AI_1, 30 , -   , 21 ,76%,55%,72%, 239 , 267 , 267 , 30 
ADAUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  AVG_VOL_P_GAIN_1_2,TP_AI_1  --  SL_ATR_1, 1 , 0 , 30 ,83%,52%,73%, 171 , 310 , 310 , 30 
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_AI_1, 30 , -   , 28 ,75%,55%,72%, 284 , 317 , 317 , 30 
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  4  --  STOCH_10,TP_AI_2  --  SL_ATR_2, 30 , -   , 29 ,74%,42%,58%, 31 , 55 , 55 , 30 
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  3  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 4 , -   , 30 ,87%,51%,79%, 182 , 280 , 280 , 30 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  3  --  STOCH_30,TP_AI_1  --  SL_AI_1, 30 , -   , 17 ,83%,51%,71%, 379 , 485 , 485 , 30 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  3  --  STOCH_30,TP_AI_1  --  SL_AI_1, 30 , -   , 17 ,83%,51%,71%, 379 , 485 , 485 , 30 
ETHUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  STOCH_10,TP_AI_1  --  SL_AI_1, 27 , 0 , 30 ,74%,47%,68%, 167 , 217 , 217 , 30 
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_AI_1, 30 , 0 , 15 ,76%,43%,69%, 250 , 267 , 267 , 30 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  3  --  AVG_VOL_P_GAIN_3_1,TP_AI_1  --  SL_ATR_1, 17 , -   , 30 ,86%,49%,78%, 125 , 146 , 146 , 30 
XRPUSDT -- 4H -- amazon/chronos-t5-large,1  --  4  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_AI_1, 30 , 0 , 15 ,76%,43%,69%, 250 , 267 , 267 , 30 
ETHUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  AVG_VOL_P_GAIN_1_2,TP_AI_1  --  SL_AI_1, 30 , 21 , 19 ,72%,51%,65%, 157 , 193 , 193 , 30 
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  5  --  STOCH_10,TP_AI_1  --  SL_AI_1, 28 , 0 , 30 ,75%,54%,71%, 318 , 386 , 386 , 30 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  ALL,TP_AI_2  --  SL_ATR_2, 30 , -   , 19 ,65%,52%,54%, 357 ," 1,088 "," 1,088 ", 30 
DOGEUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  3  --  ROC_2,TP_AI_1  --  SL_ATR_1, 30 , 1 , 17 ,81%,51%,75%, 153 , 166 , 166 , 30 
BTCUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  5  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 18 , 0 , 30 ,45%,50%,49%, 104 , 302 , 302 , 30 
ADAUSDT -- 4H -- amazon/chronos-t5-large,1  --  3  --  STOCH_20,TP_AI_2  --  SL_ATR_2, 30 , -   , 21 ,66%,54%,55%, 223 , 466 , 466 , 30 
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  AVG_VOL_P_GAIN_3_1,TP_AI_1  --  SL_AI_1, 30 , -   , 28 ,77%,56%,76%, 226 , 235 , 235 , 30 
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  AVG_VOL_P_GAIN_3_1,TP_AI_1  --  SL_AI_1, 30 , -   , 28 ,77%,56%,76%, 226 , 235 , 235 , 30 
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  AVG_VOL_P_GAIN_1_1,TP_AI_2  --  SL_ATR_2, 19 , -   , 30 ,66%,44%,54%, 38 , 84 , 84 , 30 
ADAUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  4  --  STOCH_40,TP_AI_1  --  SL_AI_1, 30 , 0 , 28 ,79%,50%,71%, 156 , 185 , 185 , 30 
ADAUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  5  --  STOCH_40,TP_AI_1  --  SL_AI_1, 30 , 0 , 28 ,79%,50%,72%, 156 , 186 , 186 , 30 
ADAUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  10  --  STOCH_40,TP_AI_1  --  SL_AI_1, 30 , 0 , 28 ,79%,50%,72%, 156 , 186 , 186 , 30 
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  4  --  STOCH_10,TP_AI_1  --  SL_AI_1, 27 , -   , 30 ,78%,51%,73%, 306 , 347 , 347 , 30 
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  10  --  AVG_VOL_P_GAIN_1_1,TP_AI_2  --  SL_ATR_2, 30 , -   , 27 ,74%,47%,59%, 50 , 104 , 104 , 30 
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  3  --  ALL,TP_AI_1  --  SL_AI_1, 30 , 23 , 21 ,80%,52%,74%, 317 , 376 , 376 , 30 
