FILE,STRATEGY,TP_SL, END_BALANCE__1 , END_BALANCE__2 , END_BALANCE__3 ,WIN_RATE__1,WIN_RATE__2,WIN_RATE__3, NBR_TRADES__1 , NBR_TRADES__2 , NBR_TRADES__3 , MAX_END_BALANCE 
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_10,TP_AI_1  --  SL_ATR_1," 1,113,202 ", 1 ," 1,361,874 ",84%,48%,73%, 104 , 146 , 146 ," 1,361,874 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  5  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 182 ," 36,148 ", 313 ,62%,53%,53%, 100 , 238 , 238 ," 36,148 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  3  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 113 ," 23,017 ", 106 ,82%,82%,82%, 17 , 17 , 17 ," 23,017 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  3  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 104 ," 22,240 ", 118 ,86%,57%,82%, 36 , 40 , 40 ," 22,240 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  ROC_3,TP_AI_1  --  SL_ATR_1, 186 ," 20,432 ", 167 ,88%,66%,85%, 69 , 79 , 79 ," 20,432 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 66 ," 19,594 ", 120 ,83%,53%,79%, 36 , 43 , 43 ," 19,594 "
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  4  --  ROC_1,TP_AI_2  --  SL_ATR_2, 186 ," 16,972 ", 72 ,68%,54%,55%, 124 , 291 , 291 ," 16,972 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  10  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 169 ," 9,973 ", 183 ,90%,61%,83%, 49 , 59 , 59 ," 9,973 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  5  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 198 ," 9,382 ", 269 ,64%,51%,52%, 112 , 265 , 265 ," 9,382 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  3  --  AVG_VOL_P_GAIN_3_2,TP_AI_1  --  SL_AI_1, 459 ," 6,144 ", 328 ,84%,57%,81%, 146 , 154 , 154 ," 6,144 "
DOGEUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  4  --  AVG_VOL_P_GAIN_2_1,TP_AI_2  --  SL_ATR_2, 106 ," 6,030 ", 73 ,87%,60%,77%, 161 , 187 , 187 ," 6,030 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  AVG_VOL_P_GAIN_3_2,TP_AI_1  --  SL_ATR_1, 252 ," 3,893 ", 168 ,92%,57%,84%, 131 , 158 , 158 ," 3,893 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  ROC_3,TP_AI_2  --  SL_ATR_2, 318 ," 2,261 ", 282 ,81%,51%,62%, 21 , 45 , 45 ," 2,261 "
ADAUSDT -- 4H -- amazon/chronos-t5-large,1  --  3  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 77 , 914 , 189 ,87%,54%,80%, 254 , 309 , 309 , 914 
ADAUSDT -- 4H -- amazon/chronos-t5-large,1  --  10  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 77 , 879 , 166 ,87%,54%,80%, 252 , 310 , 310 , 879 
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  3  --  AVG_VOL_P_GAIN_3_2,TP_AI_1  --  SL_AI_1, 367 , 812 , 204 ,86%,52%,79%, 300 , 349 , 349 , 812 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  5  --  ROC_3,TP_AI_2  --  SL_ATR_2, 748 , -   , 346 ,77%,52%,61%, 124 , 261 , 261 , 748 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  3  --  ROC_3,TP_AI_2  --  SL_ATR_2, 340 , -   , 416 ,78%,56%,68%, 97 , 169 , 169 , 416 
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  5  --  STOCH_10,TP_AI_1  --  SL_ATR_1," 1,113,202 ", 1 ," 1,174,756 ",84%,48%,72%, 104 , 147 , 147 ," 1,174,756 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  STOCH_10,TP_AI_1  --  SL_ATR_1," 1,113,202 ", 1 ," 1,174,756 ",84%,48%,72%, 104 , 147 , 147 ," 1,174,756 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  3  --  STOCH_10,TP_AI_1  --  SL_ATR_1," 872,910 ", 1 ," 1,040,268 ",83%,48%,72%, 102 , 143 , 143 ," 1,040,268 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_10,TP_AI_1  --  SL_AI_1," 153,862 ", 1 ," 88,832 ",73%,48%,71%, 126 , 146 , 146 ," 153,862 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_20,TP_AI_1  --  SL_ATR_1," 101,989 ", 1 ," 135,365 ",81%,46%,73%, 74 , 95 , 95 ," 135,365 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  3  --  STOCH_10,TP_AI_1  --  SL_AI_1," 122,617 ", 1 ," 67,855 ",73%,48%,70%, 124 , 143 , 143 ," 122,617 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  5  --  STOCH_10,TP_AI_1  --  SL_AI_1," 122,034 ", 1 ," 70,457 ",72%,48%,70%, 127 , 147 , 147 ," 122,034 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  STOCH_10,TP_AI_1  --  SL_AI_1," 122,034 ", 1 ," 70,457 ",72%,48%,70%, 127 , 147 , 147 ," 122,034 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  5  --  STOCH_20,TP_AI_1  --  SL_ATR_1," 101,989 ", 1 ," 116,766 ",81%,47%,72%, 74 , 96 , 96 ," 116,766 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  STOCH_20,TP_AI_1  --  SL_ATR_1," 101,989 ", 1 ," 116,766 ",81%,47%,72%, 74 , 96 , 96 ," 116,766 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  3  --  STOCH_20,TP_AI_1  --  SL_ATR_1," 79,974 ", 1 ," 103,399 ",81%,46%,72%, 72 , 92 , 92 ," 103,399 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  4  --  ROC_2,TP_AI_2  --  SL_ATR_2, 107 ," 38,043 ", 57 ,67%,52%,54%, 127 , 315 , 315 ," 38,043 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  4  --  ROC_2,TP_AI_2  --  SL_AI_1, -   ," 38,043 ", -   ,26%,52%,23%, 200 , 315 , 315 ," 38,043 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  5  --  STOCH_40,TP_AI_2  --  SL_AI_1, 0 ," 36,148 ", -   ,32%,53%,28%, 140 , 238 , 238 ," 36,148 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_20,TP_AI_1  --  SL_AI_1," 34,408 ", 1 ," 23,962 ",70%,46%,69%, 81 , 95 , 95 ," 34,408 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  ROC_2,TP_AI_2  --  SL_ATR_2, 131 ," 28,149 ", 67 ,65%,51%,53%, 112 , 280 , 280 ," 28,149 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  ROC_2,TP_AI_2  --  SL_AI_1, -   ," 28,149 ", -   ,25%,51%,22%, 177 , 280 , 280 ," 28,149 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  3  --  STOCH_20,TP_AI_1  --  SL_AI_1," 28,127 ", 1 ," 18,303 ",70%,46%,68%, 80 , 92 , 92 ," 28,127 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  5  --  STOCH_20,TP_AI_1  --  SL_AI_1," 27,290 ", 1 ," 19,005 ",70%,47%,69%, 82 , 96 , 96 ," 27,290 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  STOCH_20,TP_AI_1  --  SL_AI_1," 27,290 ", 1 ," 19,005 ",70%,47%,69%, 82 , 96 , 96 ," 27,290 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  4  --  ROC_1,TP_AI_2  --  SL_ATR_2, 147 ," 26,979 ", 78 ,68%,53%,55%, 145 , 313 , 313 ," 26,979 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  4  --  ROC_1,TP_AI_2  --  SL_AI_1, -   ," 26,979 ", -   ,30%,53%,25%, 214 , 313 , 313 ," 26,979 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 28 ," 23,017 ", 28 ,35%,82%,35%, 17 , 17 , 17 ," 23,017 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 113 ," 23,017 ", 106 ,82%,82%,82%, 17 , 17 , 17 ," 23,017 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  5  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 113 ," 23,017 ", 106 ,82%,82%,82%, 17 , 17 , 17 ," 23,017 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  10  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 113 ," 23,017 ", 106 ,82%,82%,82%, 17 , 17 , 17 ," 23,017 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  3  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 28 ," 23,017 ", 28 ,35%,82%,35%, 17 , 17 , 17 ," 23,017 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  5  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 28 ," 23,017 ", 28 ,35%,82%,35%, 17 , 17 , 17 ," 23,017 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  10  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 28 ," 23,017 ", 28 ,35%,82%,35%, 17 , 17 , 17 ," 23,017 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  3  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_ATR_2, 57 ," 22,888 ", 55 ,75%,82%,71%, 16 , 17 , 17 ," 22,888 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  4  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_ATR_2, 57 ," 22,888 ", 55 ,75%,82%,71%, 16 , 17 , 17 ," 22,888 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  5  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_ATR_2, 57 ," 22,888 ", 55 ,75%,82%,71%, 16 , 17 , 17 ," 22,888 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  10  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_ATR_2, 57 ," 22,888 ", 55 ,75%,82%,71%, 16 , 17 , 17 ," 22,888 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  3  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_AI_1, 42 ," 22,888 ", 42 ,53%,82%,53%, 17 , 17 , 17 ," 22,888 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  4  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_AI_1, 42 ," 22,888 ", 42 ,53%,82%,53%, 17 , 17 , 17 ," 22,888 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  5  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_AI_1, 42 ," 22,888 ", 42 ,53%,82%,53%, 17 , 17 , 17 ," 22,888 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  10  --  AVG_VOL_P_GAIN_3_1,TP_AI_2  --  SL_AI_1, 42 ," 22,888 ", 42 ,53%,82%,53%, 17 , 17 , 17 ," 22,888 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  3  --  STOCH_40,TP_AI_1  --  SL_AI_1, 77 ," 22,240 ", 73 ,74%,57%,72%, 38 , 40 , 40 ," 22,240 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  3  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 129 ," 21,785 ", 121 ,87%,80%,87%, 15 , 15 , 15 ," 21,785 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  4  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 129 ," 21,785 ", 121 ,87%,80%,87%, 15 , 15 , 15 ," 21,785 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  5  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 129 ," 21,785 ", 121 ,87%,80%,87%, 15 , 15 , 15 ," 21,785 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 129 ," 21,785 ", 121 ,87%,80%,87%, 15 , 15 , 15 ," 21,785 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  3  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 37 ," 21,785 ", 37 ,40%,80%,40%, 15 , 15 , 15 ," 21,785 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  4  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 37 ," 21,785 ", 37 ,40%,80%,40%, 15 , 15 , 15 ," 21,785 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  5  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 37 ," 21,785 ", 37 ,40%,80%,40%, 15 , 15 , 15 ," 21,785 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_AI_1, 37 ," 21,785 ", 37 ,40%,80%,40%, 15 , 15 , 15 ," 21,785 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  ROC_3,TP_AI_1  --  SL_AI_1, 203 ," 20,432 ", 128 ,82%,66%,76%, 72 , 79 , 79 ," 20,432 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  ROC_1,TP_AI_2  --  SL_ATR_2, 169 ," 20,326 ", 83 ,66%,52%,54%, 131 , 277 , 277 ," 20,326 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  ROC_1,TP_AI_2  --  SL_AI_1, -   ," 20,326 ", -   ,29%,52%,23%, 194 , 277 , 277 ," 20,326 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_40,TP_AI_1  --  SL_AI_1, 67 ," 19,635 ", 64 ,72%,55%,69%, 39 , 42 , 42 ," 19,635 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 60 ," 19,635 ", 109 ,83%,55%,79%, 35 , 42 , 42 ," 19,635 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  5  --  STOCH_40,TP_AI_1  --  SL_AI_1, 74 ," 19,594 ", 70 ,72%,53%,70%, 40 , 43 , 43 ," 19,594 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  STOCH_40,TP_AI_1  --  SL_AI_1, 74 ," 19,594 ", 70 ,72%,53%,70%, 40 , 43 , 43 ," 19,594 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  5  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 66 ," 19,594 ", 120 ,83%,53%,79%, 36 , 43 , 43 ," 19,594 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  5  --  ROC_3,TP_AI_1  --  SL_AI_1, 207 ," 18,551 ", 138 ,83%,65%,77%, 70 , 77 , 77 ," 18,551 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  5  --  ROC_3,TP_AI_1  --  SL_ATR_1, 135 ," 18,551 ", 144 ,87%,65%,84%, 63 , 77 , 77 ," 18,551 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  4  --  ROC_1,TP_AI_2  --  SL_AI_1, -   ," 16,972 ", -   ,31%,54%,21%, 180 , 291 , 291 ," 16,972 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  4  --  ROC_1,TP_AI_2  --  SL_ATR_2, 186 ," 16,972 ", 72 ,68%,54%,55%, 124 , 291 , 291 ," 16,972 "
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  4  --  ROC_1,TP_AI_2  --  SL_AI_1, -   ," 16,972 ", -   ,31%,54%,21%, 180 , 291 , 291 ," 16,972 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  ROC_3,TP_AI_1  --  SL_AI_1, 126 ," 16,633 ", 106 ,82%,65%,78%, 67 , 72 , 72 ," 16,633 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  ROC_3,TP_AI_1  --  SL_ATR_1, 83 ," 16,633 ", 110 ,87%,65%,86%, 60 , 72 , 72 ," 16,633 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  3  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 124 ," 16,332 ", 139 ,89%,61%,84%, 46 , 51 , 51 ," 16,332 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  3  --  STOCH_40,TP_AI_1  --  SL_AI_1, 67 ," 16,332 ", 63 ,75%,61%,73%, 48 , 51 , 51 ," 16,332 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 126 ," 15,415 ", 154 ,63%,53%,54%, 92 , 191 , 191 ," 15,415 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  STOCH_40,TP_AI_2  --  SL_AI_1, 0 ," 15,415 ", -   ,30%,53%,29%, 126 , 191 , 191 ," 15,415 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  5  --  ROC_1,TP_AI_2  --  SL_ATR_2, 115 ," 15,253 ", 59 ,64%,53%,54%, 142 , 378 , 378 ," 15,253 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  5  --  ROC_1,TP_AI_2  --  SL_AI_1, -   ," 15,253 ", -   ,31%,53%,24%, 219 , 378 , 378 ," 15,253 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  4  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 71 ," 14,771 ", 130 ,86%,58%,81%, 44 , 53 , 53 ," 14,771 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  4  --  STOCH_40,TP_AI_1  --  SL_AI_1, 59 ," 14,771 ", 55 ,73%,58%,70%, 49 , 53 , 53 ," 14,771 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 78 ," 14,741 ", 144 ,87%,57%,81%, 45 , 54 , 54 ," 14,741 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 78 ," 14,741 ", 144 ,87%,57%,81%, 45 , 54 , 54 ," 14,741 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  STOCH_40,TP_AI_1  --  SL_AI_1, 65 ," 14,741 ", 61 ,74%,57%,70%, 50 , 54 , 54 ," 14,741 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  STOCH_40,TP_AI_1  --  SL_AI_1, 65 ," 14,741 ", 61 ,74%,57%,70%, 50 , 54 , 54 ," 14,741 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  3  --  ROC_3,TP_AI_1  --  SL_AI_1, 104 ," 13,814 ", 88 ,82%,65%,78%, 65 , 68 , 68 ," 13,814 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  3  --  ROC_3,TP_AI_1  --  SL_ATR_1, 73 ," 13,814 ", 91 ,87%,65%,87%, 63 , 68 , 68 ," 13,814 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  3  --  ROC_1,TP_AI_2  --  SL_AI_1, -   ," 13,396 ", -   ,33%,58%,26%, 151 , 207 , 207 ," 13,396 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  3  --  ROC_1,TP_AI_2  --  SL_ATR_2, 105 ," 13,396 ", 121 ,68%,58%,61%, 113 , 207 , 207 ," 13,396 "
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  3  --  ROC_1,TP_AI_2  --  SL_AI_1, -   ," 13,396 ", -   ,33%,58%,26%, 151 , 207 , 207 ," 13,396 "
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  3  --  ROC_1,TP_AI_2  --  SL_ATR_2, 105 ," 13,396 ", 121 ,68%,58%,61%, 113 , 207 , 207 ," 13,396 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  3  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 182 ," 11,728 ", 153 ,91%,62%,85%, 47 , 53 , 53 ," 11,728 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  3  --  STOCH_40,TP_AI_1  --  SL_AI_1, 102 ," 11,728 ", 74 ,81%,62%,74%, 48 , 53 , 53 ," 11,728 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  5  --  ROC_1,TP_AI_2  --  SL_ATR_2, 145 ," 11,383 ", 63 ,64%,51%,53%, 129 , 342 , 342 ," 11,383 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  5  --  ROC_1,TP_AI_2  --  SL_AI_1, -   ," 11,383 ", -   ,30%,51%,22%, 202 , 342 , 342 ," 11,383 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  ROC_3,TP_AI_1  --  SL_ATR_1, 104 ," 11,124 ", 69 ,88%,59%,81%, 56 , 63 , 63 ," 11,124 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  5  --  ROC_3,TP_AI_1  --  SL_ATR_1, 104 ," 11,124 ", 69 ,88%,59%,81%, 56 , 63 , 63 ," 11,124 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  ROC_3,TP_AI_1  --  SL_ATR_1, 104 ," 11,124 ", 69 ,88%,59%,81%, 56 , 63 , 63 ," 11,124 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  ROC_3,TP_AI_1  --  SL_AI_1, 45 ," 11,124 ", 42 ,71%,59%,68%, 58 , 63 , 63 ," 11,124 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  5  --  ROC_3,TP_AI_1  --  SL_AI_1, 45 ," 11,124 ", 42 ,71%,59%,68%, 58 , 63 , 63 ," 11,124 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  ROC_3,TP_AI_1  --  SL_AI_1, 45 ," 11,124 ", 42 ,71%,59%,68%, 58 , 63 , 63 ," 11,124 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  4  --  ROC_2,TP_AI_2  --  SL_AI_1, -   ," 10,871 ", -   ,28%,53%,23%, 189 , 313 , 313 ," 10,871 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  4  --  ROC_2,TP_AI_2  --  SL_ATR_2, 122 ," 10,871 ", 72 ,68%,53%,58%, 130 , 313 , 313 ," 10,871 "
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  4  --  ROC_2,TP_AI_2  --  SL_AI_1, -   ," 10,871 ", -   ,28%,53%,23%, 189 , 313 , 313 ," 10,871 "
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  4  --  ROC_2,TP_AI_2  --  SL_ATR_2, 122 ," 10,871 ", 72 ,68%,53%,58%, 130 , 313 , 313 ," 10,871 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  4  --  AVG_VOL_P_GAIN_1_2,TP_AI_2  --  SL_ATR_2, 170 ," 10,860 ", 132 ,83%,61%,70%, 35 , 57 , 57 ," 10,860 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  4  --  AVG_VOL_P_GAIN_1_2,TP_AI_2  --  SL_AI_1, 3 ," 10,860 ", 2 ,32%,61%,33%, 50 , 57 , 57 ," 10,860 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 132 ," 10,805 ", 174 ,90%,61%,84%, 49 , 56 , 56 ," 10,805 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  STOCH_40,TP_AI_1  --  SL_AI_1, 105 ," 10,805 ", 76 ,80%,61%,73%, 51 , 56 , 56 ," 10,805 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  AVG_VOL_P_GAIN_1_2,TP_AI_2  --  SL_ATR_2, 168 ," 10,716 ", 102 ,83%,59%,66%, 35 , 59 , 59 ," 10,716 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  AVG_VOL_P_GAIN_1_2,TP_AI_2  --  SL_AI_1, 2 ," 10,716 ", 2 ,31%,59%,32%, 51 , 59 , 59 ," 10,716 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  3  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 132 ," 10,160 ", 112 ,91%,60%,85%, 58 , 65 , 65 ," 10,160 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  3  --  STOCH_40,TP_AI_1  --  SL_AI_1, 97 ," 10,160 ", 71 ,83%,60%,75%, 59 , 65 , 65 ," 10,160 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  10  --  STOCH_40,TP_AI_1  --  SL_AI_1, 91 ," 9,973 ", 77 ,78%,61%,73%, 54 , 59 , 59 ," 9,973 "
DOGEUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  4  --  STOCH_30,TP_AI_2  --  SL_ATR_2, 104 ," 9,923 ", 69 ,88%,62%,75%, 25 , 32 , 32 ," 9,923 "
DOGEUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  4  --  STOCH_30,TP_AI_2  --  SL_AI_1, 8 ," 9,923 ", 7 ,27%,62%,28%, 30 , 32 , 32 ," 9,923 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  3  --  ROC_1,TP_AI_2  --  SL_ATR_2, 174 ," 9,773 ", 107 ,74%,52%,59%, 127 , 223 , 223 ," 9,773 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  3  --  ROC_1,TP_AI_2  --  SL_AI_1, -   ," 9,773 ", -   ,31%,52%,25%, 176 , 223 , 223 ," 9,773 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  ROC_2,TP_AI_2  --  SL_AI_1, -   ," 9,602 ", -   ,27%,53%,22%, 167 , 265 , 265 ," 9,602 "
